Element Label,S11,S22,S33,S12,S13,S23,Mises
385,9097.049,17539.744,24108.148,-1652.894,-5996.586,1919.4177,17233.80078125
386,-39125.008,-45652.273,-66350.34,11954.085,-4919.4795,-2067.8132,33470.12109375
387,36767.215,-4574.2974,23424.73,-2547.073,5022.142,1112.7975,37873.30859375
388,58474.465,34803.56,77311.88,-7955.1187,1684.7253,-2877.4146,39802.8125
389,-11975.232,18252.672,-21429.318,7703.3477,4621.148,342.39572,39132.14453125
390,-47337.938,-21794.992,-42316.832,-13098.772,2294.63,3203.1497,33327.3125
391,24758.457,12170.438,14643.485,7706.083,-883.1657,2703.7405,18326.625
392,-1206.8711,-23493.523,-10414.329,16786.76,3403.7812,-6806.6826,37355.11328125
393,9460.926,-783.98486,2016.3168,18301.748,-5520.31,4161.942,35104.98046875
394,-6295.0264,1451.5142,-8871.848,-6170.8276,627.1344,-344.57312,14226.1650390625
395,-22286.375,14.446045,19186.133,3482.4482,2210.8928,2282.104,36865.90625
396,32167.33,39461.305,15646.143,6593.8936,1458.2955,-4127.138,25190.76953125
397,15765.411,22369.887,46947.65,13216.078,3540.6133,2819.721,37355.8984375
398,-342.42163,864.65857,6996.2344,2238.7515,1131.1339,259.2836,8095.10107421875
399,-29129.562,-28736.348,5332.0425,-993.64417,8151.4653,7038.7095,39053.0078125
400,-52387.93,-57775.008,-29592.61,10245.971,-4155.5674,12946.863,39256.30078125
401,-21430.045,-33599.67,-62940.523,-1879.2352,777.6699,4723.9727,38018.5390625
402,-16248.48,-28708.13,-6201.0254,17840.791,2695.7527,6290.848,38429.015625
403,-18845.145,-12027.544,-15749.482,-4169.1387,-142.53468,-2269.7368,10130.10546875
404,-53924.44,-35900.676,-59983.99,-4179.2026,-1485.0374,1837.7979,23236.517578125
405,-82.82239,5578.8936,-3665.3518,-1682.4944,-10318.058,-1254.2411,19944.208984375
406,-57471.023,-55020.766,-81075.88,303.1203,-3909.6575,-9138.721,30293.7578125
407,-1916.3878,-3259.4253,4296.9785,-19982.107,6239.9014,6752.732,38732.6171875
408,-87971.17,-70406.76,-115168.125,-1478.5071,-4647.728,2127.4487,40135.04296875
409,-626.2547,260.8647,-11062.174,2183.6694,-5309.608,11194.532,24367.74609375
410,-44832.855,-7841.965,-33205.28,-9234.537,-8379.949,-3018.2778,39588.41796875
411,-19670.156,-1172.3556,10233.574,-7739.2417,3775.3958,-13805.66,38438.07421875
412,10266.106,572.6875,5639.155,-9169.697,-6037.0874,1486.1516,20946.009765625
413,-9253.571,-22627.281,-18125.549,-30.026403,4288.49,3030.4583,14887.7138671875
414,44846.52,26445.766,55644.04,11119.086,9155.214,5375.238,36917.37109375
415,-15300.592,-6082.7734,-41630.25,-7564.831,-3904.005,-6621.335,37011.5
416,5278.572,-15096.098,12218.508,-9516.869,-6235.7407,2932.859,31919.578125
417,-11468.891,-44.172363,26755.33,1242.7169,-6694.4067,6967.3906,37942.40625
418,974.5696,6098.3027,6131.2744,3929.1033,883.60156,-1130.0831,8883.115234375
419,28139.73,40084.656,10781.118,2497.4866,-2921.5796,-10754.891,32290.435546875
420,89860.0,91571.94,84577.68,-712.16437,102.694084,5866.4404,12028.099609375
421,-17683.965,10722.051,-23379.354,3225.1777,-9328.564,-6807.257,37847.1953125
422,16014.4795,16201.403,15444.114,655.7945,103.91952,859.16095,2000.98522949219
423,-42737.19,-33971.574,-1821.4883,-3136.898,5729.314,4045.6094,39615.34765625
424,35565.285,18667.6,1090.9375,668.50214,-584.1125,281.67133,29901.138671875
425,-26905.66,-45007.734,-12937.245,-4346.4067,331.8707,-1011.46954,28909.03515625
426,22544.516,22119.791,21607.58,107.83246,374.00015,981.3476,2000.98498535156
427,-19813.428,-4414.8804,1411.7573,-705.34106,-835.4959,-190.25215,19091.41015625
428,-18238.928,7975.951,-33687.797,237.41774,2752.3743,1337.3308,36866.5
